class,order,family,genus,species,common_name,count_train,count_validation,count_test
Aves,Ciconiiformes,Ciconiidae,Ciconia,nigra,Black Stork,9,0,0
Mammalia,Didelphimorphia,Didelphidae,Caluromys,,Caluromys Species,9,0,0
Aves,Cuculiformes,Cuculidae,Tapera,naevia,Striped Cuckoo,9,0,0
Mammalia,Rodentia,Sciuridae,Urocitellus,undulatus,Long-tailed Ground Squirrel,9,0,0
Aves,Galliformes,Cracidae,Penelopina,,Penelopina Species,9,0,0
Mammalia,Afrosoricida,Tenrecidae,Hemicentetes,semispinosus,Lowland Streaked Tenrec,9,0,0
Mammalia,Carnivora,Mustelidae,Mustela,kathiah,Yellow-bellied Weasel,9,0,5
Mammalia,Pholidota,Manidae,Manis,crassicaudata,Indian Pangolin,9,0,0
Aves,Passeriformes,Corvidae,Cyanocorax,chrysops,Plush-crested Jay,9,1,0
Aves,Columbiformes,Columbidae,Treron,calvus,African Green Pigeon,9,0,0
Aves,Passeriformes,Petroicidae,Petroica,phoenicea,Flame Robin,9,11,0
Aves,Gruiformes,Rallidae,Porphyrio,melanotus,Australian Swamphen,9,0,0
Aves,Galliformes,Phasianidae,Francolinus,,Francolinus Species,9,3,0
Aves,Passeriformes,Formicariidae,Chamaeza,campanisona,Short-tailed Antthrush,8,0,0
Aves,Passeriformes,Campephagidae,Coracina,novaehollandiae,Black-faced Cuckooshrike,8,3,0
Aves,Piciformes,Bucconidae,Monasa,,Monasa Species,8,0,3
Aves,Passeriformes,Troglodytidae,Troglodytes,aedon,House Wren,8,0,0
Aves,Musophagiformes,Musophagidae,Tauraco,schalowi,Schalow's Turaco,8,0,0
Aves,Charadriiformes,Scolopacidae,Gallinago,imperialis,Imperial Snipe,8,0,0
Mammalia,Carnivora,Procyonidae,Procyon,,Procyon Species,8,0,54
Aves,Passeriformes,Muscicapidae,Ficedula,platenae,Palawan Flycatcher,8,0,0
